Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
29,40,29,3,1,100,3,caught,2,v New Zealand,Pune,25-Oct-17,ODI # 3931
113,166,106,9,1,106.6,3,caught,1,v New Zealand,Kanpur,29-Oct-17,ODI # 3932
112,164,119,10,0,94.11,3,caught,2,v South Africa,Durban,01-Feb-18,ODI # 3969
46*,64,50,4,1,92,3,not out,2,v South Africa,Centurion,04-Feb-18,ODI # 3970
160*,220,159,12,2,100.62,3,not out,1,v South Africa,Cape Town,07-Feb-18,ODI # 3971
75,119,83,7,1,90.36,3,caught,1,v South Africa,Johannesburg,10-Feb-18,ODI # 3973
36,76,54,2,0,66.66,3,run out,1,v South Africa,Port Elizabeth,13-Feb-18,ODI # 3976
129*,123,96,19,2,134.37,3,not out,2,v South Africa,Centurion,16-Feb-18,ODI # 3978
75,-,82,7,0,91.46,3,stumped,2,v England,Nottingham,12-Jul-18,ODI # 4014
45,-,56,2,0,80.35,3,lbw,2,v England,Lord's,14-Jul-18,ODI # 4016
71,98,72,8,0,98.61,3,bowled,1,v England,Leeds,17-Jul-18,ODI # 4018
140,-,107,21,2,130.84,3,stumped,2,v West Indies,Guwahati,21-Oct-18,ODI # 4056
157*,217,129,13,4,121.7,3,not out,1,v West Indies,Visakhapatnam,24-Oct-18,ODI # 4059
107,-,119,10,1,89.91,3,bowled,2,v West Indies,Pune,27-Oct-18,ODI # 4062
16,-,17,2,0,94.11,3,caught,1,v West Indies,Mumbai (BS),29-Oct-18,ODI # 4063
33*,57,29,6,0,113.79,3,not out,2,v West Indies,Thiruvananthapuram,01-Nov-18,ODI # 4064
3,10,8,0,0,37.5,3,caught,2,v Australia,Sydney,12-Jan-19,ODI # 4077
104,150,112,5,2,92.85,3,caught,2,v Australia,Adelaide,15-Jan-19,ODI # 4078
46,-,62,3,0,74.19,3,caught,2,v Australia,Melbourne,18-Jan-19,ODI # 4079
45,59,59,3,0,76.27,3,caught,2,v New Zealand,Napier,23-Jan-19,ODI # 4082
43,59,45,5,0,95.55,3,caught,1,v New Zealand,Mount Maunganui,26-Jan-19,ODI # 4085
60,94,74,6,1,81.08,3,caught,2,v New Zealand,Mount Maunganui,28-Jan-19,ODI # 4088
44,-,45,6,1,97.77,3,lbw,2,v Australia,Hyderabad (Deccan),02-Mar-19,ODI # 4102
116,-,120,10,0,96.66,3,caught,1,v Australia,Nagpur,05-Mar-19,ODI # 4106
123,-,95,16,1,129.47,3,bowled,2,v Australia,Ranchi,08-Mar-19,ODI # 4109
7,-,6,1,0,116.66,4,caught,1,v Australia,Mohali,10-Mar-19,ODI # 4111
20,-,22,2,0,90.9,3,caught,2,v Australia,Delhi,13-Mar-19,ODI # 4113
18,44,34,1,0,52.94,3,caught,2,v South Africa,Southampton,05-Jun-19,ODI # 4150
82,128,77,4,2,106.49,3,caught,1,v Australia,The Oval,09-Jun-19,ODI # 4155
77,105,65,7,0,118.46,3,caught,1,v Pakistan,Manchester,16-Jun-19,ODI # 4161
67,105,63,5,0,106.34,3,caught,1,v Afghanistan,Southampton,22-Jun-19,ODI # 4169
72,146,82,8,0,87.8,3,caught,1,v West Indies,Manchester,27-Jun-19,ODI # 4175
66,103,76,7,0,86.84,3,caught,2,v England,Birmingham,30-Jun-19,ODI # 4179
26,45,27,3,0,96.29,3,caught,1,v Bangladesh,Birmingham,02-Jul-19,ODI # 4182
34*,61,41,3,0,82.92,3,not out,2,v Sri Lanka,Leeds,06-Jul-19,ODI # 4187
1,8,6,0,0,16.66,3,lbw,2,v New Zealand,Manchester,09-Jul-19,ODI # 4190
TDNB,-,-,-,-,-,-,-,-,v West Indies,Providence,08-Aug-19,ODI # 4196
120,179,125,14,1,96,3,caught,1,v West Indies,Port of Spain,11-Aug-19,ODI # 4197
114*,127,99,14,0,115.15,3,not out,2,v West Indies,Port of Spain,14-Aug-19,ODI # 4199
