Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
37,87,56,3,0,66.07,5,caught,1,vÿNetherlands,Paarl,12-Feb-03,ODI # 1948
0,8,8,0,0,0,5,lbw,1,vÿAustralia,Centurion,15-Feb-03,ODI # 1951
1,3,5,0,0,20,6,caught,1,vÿZimbabwe,Harare,19-Feb-03,ODI # 1957
7*,13,7,1,0,100,4,not out,1,vÿNamibia,Pietermaritzburg,23-Feb-03,ODI # 1964
42,38,38,4,1,110.52,6,caught,1,vÿEngland,Durban,26-Feb-03,ODI # 1969
50*,91,53,6,0,94.33,6,not out,2,vÿPakistan,Centurion,01-Mar-03,ODI # 1975
58*,71,64,7,0,90.62,6,not out,2,vÿKenya,Cape Town,07-Mar-03,ODI # 1983
5,7,6,0,0,83.33,5,bowled,1,vÿSri Lanka,Johannesburg,10-Mar-03,ODI # 1985
DNB,-,-,-,-,-,-,-,2,vÿNew Zealand,Centurion,14-Mar-03,ODI # 1988
16,15,10,1,1,160,5,caught,1,vÿKenya,Durban,20-Mar-03,ODI # 1992
24,48,34,1,0,70.58,6,caught,2,vÿAustralia,Johannesburg,23-Mar-03,ODI # 1993
102*,99,85,9,4,120,5,not out,1,vÿBangladesh,Dhaka,11-Apr-03,ODI # 2001
11,17,12,1,0,91.66,5,run out,1,vÿSouth Africa,Dhaka,13-Apr-03,ODI # 2002
2*,-,10,0,0,20,5,not out,1,vÿSouth Africa,Dhaka,21-Apr-03,ODI # 2007
29*,46,38,4,0,76.31,5,not out,1,vÿNew Zealand,Chennai,23-Oct-03,ODI # 2051
44,44,33,6,1,133.33,4,caught,1,vÿAustralia,Gwalior,26-Oct-03,ODI # 2052
9,13,15,1,0,60,5,caught,2,vÿAustralia,Mumbai,01-Nov-03,ODI # 2054
0,1,3,0,0,0,5,caught,1,vÿNew Zealand,Cuttack,06-Nov-03,ODI # 2056
20,24,16,3,0,125,6,lbw,2,vÿAustralia,Bengaluru,12-Nov-03,ODI # 2061
7,15,10,0,0,70,4,caught,1,vÿNew Zealand,Hyderabad (Deccan),15-Nov-03,ODI # 2062
