Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
DNB,-,-,-,-,-,-,-,2,v˜South Africa,The Oval,11-Jun-17,ODI # 3886
DNB,-,-,-,-,-,-,-,2,v˜Bangladesh,Birmingham,15-Jun-17,ODI # 3891
4,23,16,0,0,25,5,caught,2,v˜Pakistan,The Oval,18-Jun-17,ODI # 3894
9*,-,9,1,0,100,5,not out,1,v˜West Indies,Port of Spain,23-Jun-17,ODI # 3895
13*,-,13,1,0,100,6,not out,1,v˜West Indies,Port of Spain,25-Jun-17,ODI # 3896
78*,-,79,4,2,98.73,5,not out,1,v˜West Indies,North Sound,30-Jun-17,ODI # 3898
54,-,114,1,0,47.36,5,caught,2,v˜West Indies,North Sound,02-Jul-17,ODI # 3900
DNB,-,-,-,-,-,-,-,2,v˜West Indies,Kingston,06-Jul-17,ODI # 3902
DNB,-,-,-,-,-,-,-,2,v˜Sri Lanka,Dambulla,20-Aug-17,ODI # 3905
45*,-,68,1,0,66.17,6,not out,2,v˜Sri Lanka,Pallekele,24-Aug-17,ODI # 3906
67*,-,86,4,1,77.9,6,not out,2,v˜Sri Lanka,Pallekele,27-Aug-17,ODI # 3907
49*,-,42,5,1,116.66,7,not out,1,v˜Sri Lanka,Colombo (RPS),31-Aug-17,ODI # 3908
1*,-,1,0,0,100,6,not out,2,v˜Sri Lanka,Colombo (RPS),03-Sep-17,ODI # 3909
79,152,88,4,2,89.77,6,caught,1,v˜Australia,Chennai,17-Sep-17,ODI # 3910
5,19,10,1,0,50,6,caught,1,v˜Australia,Kolkata,21-Sep-17,ODI # 3912
3*,9,6,0,0,50,7,not out,2,v˜Australia,Indore,24-Sep-17,ODI # 3914
13,12,10,1,1,130,7,bowled,2,v˜Australia,Bengaluru,28-Sep-17,ODI # 3917
DNB,-,-,-,-,-,-,-,2,v˜Australia,Nagpur,01-Oct-17,ODI # 3919
25,54,42,2,0,59.52,6,caught,1,v˜New Zealand,Mumbai,22-Oct-17,ODI # 3928
18*,22,21,3,0,85.71,6,not out,2,v˜New Zealand,Pune,25-Oct-17,ODI # 3931
25,29,17,3,0,147.05,5,caught,1,v˜New Zealand,Kanpur,29-Oct-17,ODI # 3932
65,129,87,10,2,74.71,6,caught,1,v˜Sri Lanka,Dharamsala,10-Dec-17,ODI # 3939
7,11,5,0,1,140,4,lbw,1,v˜Sri Lanka,Mohali,13-Dec-17,ODI # 3941
DNB,-,-,-,-,-,-,-,2,v˜Sri Lanka,Visakhapatnam,17-Dec-17,ODI # 3942
4*,5,3,1,0,133.33,6,not out,2,v˜South Africa,Durban,01-Feb-18,ODI # 3969
DNB,-,-,-,-,-,-,-,2,v˜South Africa,Centurion,04-Feb-18,ODI # 3970
10,38,22,0,0,45.45,6,caught,1,v˜South Africa,Cape Town,07-Feb-18,ODI # 3971
42*,66,43,3,1,97.67,6,not out,1,v˜South Africa,Johannesburg,10-Feb-18,ODI # 3973
13,28,17,1,0,76.47,7,caught,1,v˜South Africa,Port Elizabeth,13-Feb-18,ODI # 3976
DNB,-,-,-,-,-,-,-,2,v˜South Africa,Centurion,16-Feb-18,ODI # 3978
DNB,-,-,-,-,-,-,-,2,v˜England,Nottingham,12-Jul-18,ODI # 4014
37,-,59,2,0,62.71,6,caught,2,v˜England,Lord's,14-Jul-18,ODI # 4016
42,90,66,4,0,63.63,5,caught,1,v˜England,Leeds,17-Jul-18,ODI # 4018
0,-,3,0,0,0,5,caught,1,v˜Hong Kong,Dubai (DSC),18-Sep-18,ODI # 4039
DNB,-,-,-,-,-,-,-,2,v˜Pakistan,Dubai (DSC),19-Sep-18,ODI # 4040
33,-,37,3,0,89.18,4,caught,2,v˜Bangladesh,Dubai (DSC),21-Sep-18,ODI # 4042
DNB,-,-,-,-,-,-,-,2,v˜Pakistan,Dubai (DSC),23-Sep-18,ODI # 4044
8,-,17,0,0,47.05,4,lbw,2,v˜Afghanistan,Dubai (DSC),25-Sep-18,ODI # 4046
36,-,67,3,0,53.73,5,caught,2,v˜Bangladesh,Dubai (DSC),28-Sep-18,ODI # 4048
DNB,-,-,-,-,-,-,-,2,v˜West Indies,Guwahati,21-Oct-18,ODI # 4056
20,31,25,0,1,80,5,bowled,1,v˜West Indies,Visakhapatnam,24-Oct-18,ODI # 4059
7,-,11,0,0,63.63,6,caught,2,v˜West Indies,Pune,27-Oct-18,ODI # 4062
23,-,15,2,0,153.33,5,caught,1,v˜West Indies,Mumbai (BS),29-Oct-18,ODI # 4063
DNB,-,-,-,-,-,-,-,2,v˜West Indies,Thiruvananthapuram,01-Nov-18,ODI # 4064
51,110,96,3,1,53.12,5,lbw,2,v˜Australia,Sydney,12-Jan-19,ODI # 4077
55*,96,54,0,2,101.85,5,not out,2,v˜Australia,Adelaide,15-Jan-19,ODI # 4078
87*,-,114,6,0,76.31,4,not out,2,v˜Australia,Melbourne,18-Jan-19,ODI # 4079
DNB,-,-,-,-,-,-,-,2,v˜New Zealand,Napier,23-Jan-19,ODI # 4082
48*,48,33,5,1,145.45,5,not out,1,v˜New Zealand,Mount Maunganui,26-Jan-19,ODI # 4085
1,13,6,0,0,16.66,5,bowled,1,v˜New Zealand,Wellington,03-Feb-19,ODI # 4092
59*,-,72,6,1,81.94,5,not out,2,v˜Australia,Hyderabad (Deccan),02-Mar-19,ODI # 4102
0,-,1,0,0,0,7,caught,1,v˜Australia,Nagpur,05-Mar-19,ODI # 4106
26,-,42,2,1,61.9,5,bowled,2,v˜Australia,Ranchi,08-Mar-19,ODI # 4109
34,69,46,2,0,73.91,5,caught,2,v˜South Africa,Southampton,05-Jun-19,ODI # 4150
27,20,14,3,1,192.85,5,caught,1,v˜Australia,The Oval,09-Jun-19,ODI # 4155
1,8,2,0,0,50,5,caught,1,v˜Pakistan,Manchester,16-Jun-19,ODI # 4161
28,75,52,3,0,53.84,5,stumped,1,v˜Afghanistan,Southampton,22-Jun-19,ODI # 4169
56*,99,61,3,2,91.8,6,not out,1,v˜West Indies,Manchester,27-Jun-19,ODI # 4175
42*,54,31,4,1,135.48,6,not out,2,v˜England,Birmingham,30-Jun-19,ODI # 4179
35,52,33,4,0,106.06,6,caught,1,v˜Bangladesh,Birmingham,02-Jul-19,ODI # 4182
DNB,-,-,-,-,-,-,-,2,v˜Sri Lanka,Leeds,06-Jul-19,ODI # 4187
50,114,72,1,1,69.44,7,run out,2,v˜New Zealand,Manchester,09-Jul-19,ODI # 4190
