Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,
91,109,91,9,3,100,3,caught,2,vÿBangladesh,Christchurch,11-Feb-10,ODI # 2953
9,42,30,1,0,30,3,caught,2,vÿAustralia,Napier,03-Mar-10,ODI # 2966
18,53,34,2,1,52.94,3,caught,2,vÿAustralia,Auckland,06-Mar-10,ODI # 2969
21,44,28,4,0,75,3,caught,1,vÿAustralia,Hamilton,09-Mar-10,ODI # 2971
30,34,22,5,0,136.36,2,caught,1,vÿAustralia,Auckland,11-Mar-10,ODI # 2973
7,24,14,0,1,50,2,run out,1,vÿAustralia,Wellington,13-Mar-10,ODI # 2975
11,9,6,2,0,183.33,2,caught,1,vÿIndia,Dambulla,10-Aug-10,ODI # 3030
0,1,1,0,0,0,2,caught,1,vÿSri Lanka,Dambulla,13-Aug-10,ODI # 3031
0,1,1,0,0,0,2,lbw,2,vÿIndia,Dambulla,25-Aug-10,ODI # 3039
30,46,37,6,0,81.08,1,caught,2,vÿIndia,Guwahati,28-Nov-10,ODI # 3070
70,145,102,3,1,68.62,1,caught,1,vÿIndia,Jaipur,01-Dec-10,ODI # 3072
12,24,15,1,1,80,1,run out,1,vÿIndia,Vadodara,04-Dec-10,ODI # 3074
30,42,25,5,0,120,1,caught,1,vÿIndia,Bengaluru,07-Dec-10,ODI # 3076
0,2,4,0,0,0,1,caught,1,vÿIndia,Chennai,10-Dec-10,ODI # 3077
40*,74,41,3,0,97.56,1,not out,2,vÿPakistan,Wellington,22-Jan-11,ODI # 3085
TDNB,-,-,-,-,-,-,-,-,vÿPakistan,Queenstown,26-Jan-11,ODI # 3088
39,68,39,4,2,100,1,caught,2,vÿPakistan,Christchurch,29-Jan-11,ODI # 3090
21,27,17,3,1,123.52,1,caught,1,vÿPakistan,Napier,01-Feb-11,ODI # 3093
65,110,70,9,0,92.85,1,caught,2,vÿPakistan,Hamilton,03-Feb-11,ODI # 3095
44,105,75,3,1,58.66,1,caught,1,vÿPakistan,Auckland,05-Feb-11,ODI # 3097
39*,37,32,5,2,121.87,1,not out,2,vÿKenya,Chennai,20-Feb-11,ODI # 3101
10,45,25,2,0,40,1,bowled,1,vÿAustralia,Nagpur,25-Feb-11,ODI # 3107
86*,114,108,7,2,79.62,1,not out,2,vÿZimbabwe,Ahmedabad,04-Mar-11,ODI # 3117
57,123,86,6,0,66.27,1,bowled,1,vÿPakistan,Pallekele,08-Mar-11,ODI # 3123
17,45,29,3,0,58.62,1,caught,1,vÿCanada,Mumbai,13-Mar-11,ODI # 3129
13,36,23,1,0,56.52,1,lbw,2,vÿSri Lanka,Mumbai,18-Mar-11,ODI # 3137
1,24,14,0,0,7.14,1,caught,1,vÿSouth Africa,Dhaka,25-Mar-11,ODI # 3144
39,91,65,3,0,60,1,bowled,1,vÿSri Lanka,Colombo (RPS),29-Mar-11,ODI # 3146
74,113,97,5,2,76.28,2,caught,2,vÿZimbabwe,Harare,20-Oct-11,ODI # 3204
105,168,121,9,0,86.77,2,bowled,2,vÿZimbabwe,Harare,22-Oct-11,ODI # 3206
70,105,66,9,0,106.06,2,bowled,1,vÿZimbabwe,Dunedin,03-Feb-12,ODI # 3230
77,93,80,8,2,96.25,2,caught,1,vÿZimbabwe,Whangarei,06-Feb-12,ODI # 3232
85,90,69,7,5,123.18,2,stumped,1,vÿZimbabwe,Napier,09-Feb-12,ODI # 3234
7,29,17,1,0,41.17,2,caught,1,vÿSouth Africa,Wellington,25-Feb-12,ODI # 3249
58,108,73,8,0,79.45,2,caught,1,vÿSouth Africa,Napier,29-Feb-12,ODI # 3252
7,19,13,1,0,53.84,2,caught,1,vÿSouth Africa,Auckland,03-Mar-12,ODI # 3254
1,5,6,0,0,16.66,2,caught,1,vÿWest Indies,Kingston,05-Jul-12,ODI # 3283
51,105,81,5,0,62.96,2,caught,2,vÿWest Indies,Kingston,07-Jul-12,ODI # 3285
11,20,15,2,0,73.33,2,lbw,1,vÿWest Indies,Basseterre,11-Jul-12,ODI # 3288
0,4,3,0,0,0,2,lbw,2,vÿWest Indies,Basseterre,14-Jul-12,ODI # 3289
33,77,56,2,2,58.92,2,lbw,2,vÿWest Indies,Basseterre,16-Jul-12,ODI # 3290
0,2,0,0,0,-,2,run out,2,vÿSouth Africa,Paarl,19-Jan-13,ODI # 3323
0,10,10,0,0,0,1,caught,1,vÿSouth Africa,Kimberley,22-Jan-13,ODI # 3325
5,22,18,1,0,27.77,1,caught,1,vÿSouth Africa,Potchefstroom,25-Jan-13,ODI # 3328
27*,42,27,4,1,100,2,not out,2,vÿEngland,Hamilton,17-Feb-13,ODI # 3335
103*,202,123,8,4,83.73,2,not out,2,vÿEngland,Lord's,31-May-13,ODI # 3360
189*,216,155,19,2,121.93,1,not out,1,vÿEngland,Southampton,02-Jun-13,ODI # 3361
38,41,36,6,1,105.55,2,bowled,2,vÿEngland,Nottingham,05-Jun-13,ODI # 3362
25,52,24,4,0,104.16,1,caught,2,vÿSri Lanka,Cardiff,09-Jun-13,ODI # 3366
